t T p yO2 yO rho
5.319341482564511760e-05 9.438096939309716618e+03 1.351047698797580597e+04 8.469726475531234033e-01 1.530273524468765967e-01 4.777880545520456906e-03
5.824177662128817340e-05 9.385705945078980221e+03 1.348143184538181231e+04 8.430290930094532786e-01 1.569709069905468046e-01 4.777880545520456906e-03
6.175123697498878452e-05 9.349506788787264668e+03 1.346108608876872677e+04 8.403023905157870344e-01 1.596976094842130212e-01 4.777880545520456906e-03
6.526069732868938886e-05 9.313505151453628059e+03 1.344062536445716978e+04 8.375890874953294540e-01 1.624109125046707125e-01 4.777880545520456906e-03
7.060623860560491386e-05 9.259076827907139887e+03 1.340926192342034483e+04 8.334844089306158166e-01 1.665155910693843222e-01 4.777880545520456906e-03
7.595177988252043886e-05 9.205179098262346088e+03 1.337769054031712403e+04 8.294168611009391512e-01 1.705831388990610709e-01 4.777880545520456906e-03
8.129732115943595031e-05 9.151850085012962154e+03 1.334594568065688145e+04 8.253896670097139454e-01 1.746103329902862766e-01 4.777880545520456906e-03
8.664286243635147531e-05 9.099123783909430131e+03 1.331406084028090117e+04 8.214057295981264106e-01 1.785942704018738669e-01 4.777880545520456906e-03
9.198840371326700031e-05 9.047030220120190279e+03 1.328206842262223472e+04 8.174676410289020145e-01 1.825323589710982353e-01 4.777880545520456906e-03
9.733394499018252531e-05 8.995595621903450592e+03 1.324999963487567584e+04 8.135776937323462299e-01 1.864223062676539644e-01 4.777880545520456906e-03
1.026794862670980368e-04 8.944842605528068816e+03 1.321788440121188069e+04 8.097378927180243213e-01 1.902621072819759007e-01 4.777880545520456906e-03
1.080250275440135618e-04 8.894790370685070229e+03 1.318575129408718749e+04 8.059499690664340132e-01 1.940500309335661810e-01 4.777880545520456906e-03
1.133705688209290868e-04 8.845454905287962902e+03 1.315362748425757127e+04 8.022153944853631646e-01 1.977846055146370019e-01 4.777880545520456906e-03
1.187161100978445982e-04 8.796849195679169497e+03 1.312153870794415889e+04 7.985353965953397859e-01 2.014646034046603529e-01 4.777880545520456906e-03
1.240616513747601368e-04 8.748983437549106384e+03 1.308950924867515823e+04 7.949109745532701998e-01 2.050890254467299390e-01 4.777880545520456906e-03
1.294071926516756753e-04 8.701865244424670891e+03 1.305756193191565762e+04 7.913429147402710750e-01 2.086570852597291470e-01 4.777880545520456906e-03
1.378744487597241932e-04 8.628772647949677776e+03 1.300717771407072723e+04 7.858078824031692333e-01 2.141921175968310165e-01 4.777880545520456906e-03
1.463417048677727111e-04 8.557578051793827399e+03 1.295713037609097410e+04 7.804171144388900583e-01 2.195828855611101638e-01 4.777880545520456906e-03
1.548089609758212561e-04 8.488279530307698224e+03 1.290748878557650278e+04 7.751710441132666496e-01 2.248289558867335725e-01 4.777880545520456906e-03
1.607253944212265722e-04 8.440976959969017116e+03 1.287307552948779448e+04 7.715910725273673609e-01 2.284089274726328334e-01 4.777880545520456906e-03
1.666418278666319155e-04 8.394587843248402351e+03 1.283890841848914533e+04 7.680811957102272602e-01 2.319188042897729896e-01 4.777880545520456906e-03
1.725582613120372588e-04 8.349103791777626611e+03 1.280500397813857126e+04 7.646408985917108048e-01 2.353591014082893618e-01 4.777880545520456906e-03
1.784746947574425749e-04 8.304514878599027725e+03 1.277137702446148978e+04 7.612695314755585363e-01 2.387304685244416580e-01 4.777880545520456906e-03
1.843911282028479182e-04 8.260809847517681192e+03 1.273804075501229454e+04 7.579663272656419482e-01 2.420336727343583016e-01 4.777880545520456906e-03
1.903075616482532615e-04 8.217976301709704785e+03 1.270500683860119898e+04 7.547304171075579493e-01 2.452695828924423282e-01 4.777880545520456906e-03
1.962239950936585777e-04 8.176000877622489497e+03 1.267228550656575862e+04 7.515608448849634415e-01 2.484391551150368638e-01 4.777880545520456906e-03
2.021404285390639209e-04 8.134869405387961706e+03 1.263988564510477590e+04 7.484565806492229356e-01 2.515434193507773419e-01 4.777880545520456906e-03
2.080568619844692642e-04 8.094567054068343168e+03 1.260781488599792829e+04 7.454165328447814876e-01 2.545834671552187900e-01 4.777880545520456906e-03
2.139732954298745804e-04 8.055078461329680067e+03 1.257607969399872854e+04 7.424395592931173349e-01 2.575604407068829982e-01 4.777880545520456906e-03
2.198897288752799236e-04 8.016387849210897912e+03 1.254468545091635315e+04 7.395244770565821968e-01 2.604755229434181918e-01 4.777880545520456906e-03
2.258061623206852669e-04 7.978479127904070083e+03 1.251363653676507784e+04 7.366700713243403698e-01 2.633299286756600188e-01 4.777880545520456906e-03
2.317225957660905831e-04 7.941335988534330681e+03 1.248293640776527354e+04 7.338751033938865076e-01 2.661248966061138255e-01 4.777880545520456906e-03
2.376390292114959263e-04 7.904941985386039960e+03 1.245258767063326559e+04 7.311383177824690716e-01 2.688616822175312615e-01 4.777880545520456906e-03
2.435554626569012425e-04 7.869280608240258516e+03 1.242259215286171820e+04 7.284584485199394610e-01 2.715415514800609276e-01 4.777880545520456906e-03
2.494718961023066400e-04 7.834335345804965982e+03 1.239295096904189995e+04 7.258342246997059322e-01 2.741657753002945119e-01 4.777880545520456906e-03
2.553883295477119833e-04 7.800089741211399087e+03 1.236366458337762379e+04 7.232643753638540174e-01 2.767356246361465377e-01 4.777880545520456906e-03
2.613047629931173265e-04 7.766527440324921372e+03 1.233473286843577989e+04 7.207476337823930379e-01 2.792523662176075172e-01 4.777880545520456906e-03
2.672211964385227240e-04 7.733632233486517180e+03 1.230615516014394234e+04 7.182827411765463355e-01 2.817172588234542197e-01 4.777880545520456906e-03
2.731376298839280673e-04 7.701388091295288177e+03 1.227793030910285233e+04 7.158684499361048781e-01 2.841315500638956215e-01 4.777880545520456906e-03
2.790540633293334106e-04 7.669779195063465522e+03 1.225005672836615486e+04 7.135035263821118967e-01 2.864964736178885474e-01 4.777880545520456906e-03
2.849704967747387538e-04 7.638789962525843293e+03 1.222253243785140876e+04 7.111867531227296091e-01 2.888132468772708905e-01 4.777880545520456906e-03
2.908869302201441513e-04 7.608405069311273110e+03 1.219535510553552376e+04 7.089169310442265948e-01 2.910830689557737938e-01 4.777880545520456906e-03
2.968033636655494946e-04 7.578609466624774541e+03 1.216852208558009079e+04 7.066928809745057771e-01 2.933071190254947225e-01 4.777880545520456906e-03
3.027197971109548379e-04 7.549388395554415183e+03 1.214203045353921880e+04 7.045134450540614379e-01 2.954865549459390062e-01 4.777880545520456906e-03
3.086362305563602353e-04 7.520727398395619275e+03 1.211587703882265669e+04 7.023774878470425698e-01 2.976225121529578188e-01 4.777880545520456906e-03
3.145526640017655786e-04 7.492612327342486424e+03 1.209005845457507530e+04 7.002838972221870906e-01 2.997161027778132425e-01 4.777880545520456906e-03
3.204690974471709219e-04 7.465029350863601394e+03 1.206457112513586071e+04 6.982315850302425186e-01 3.017684149697577589e-01 4.777880545520456906e-03
3.263855308925763194e-04 7.437964958040580314e+03 1.203941131122807383e+04 6.962194876017757661e-01 3.037805123982245670e-01 4.777880545520456906e-03
3.323019643379816626e-04 7.411405961125059548e+03 1.201457513302827283e+04 6.942465660870801303e-01 3.057534339129202028e-01 4.777880545520456906e-03
3.382183977833870059e-04 7.385339496542629604e+03 1.199005859125964344e+04 6.923118066578888286e-01 3.076881933421114490e-01 4.777880545520456906e-03
3.441348312287924034e-04 7.359753024551876479e+03 1.196585758645050373e+04 6.904142205886136807e-01 3.095857794113865968e-01 4.777880545520456906e-03
3.530764132306315355e-04 7.321967690753813258e+03 1.192987177849440377e+04 6.876147844919265895e-01 3.123852155080736326e-01 4.777880545520456906e-03
3.620179952324707761e-04 7.285210071920306291e+03 1.189458239854106432e+04 6.848948413223746590e-01 3.151051586776255631e-01 4.777880545520456906e-03
3.709595772343100167e-04 7.249441017869370626e+03 1.185997450078137808e+04 6.822513012447848357e-01 3.177486987552153308e-01 4.777880545520456906e-03
3.799011592361492030e-04 7.214622982901953947e+03 1.182603299846696609e+04 6.796812006094532510e-01 3.203187993905469155e-01 4.777880545520456906e-03
3.888427412379884436e-04 7.180719982323566001e+03 1.179274274481073917e+04 6.771816988906290691e-01 3.228183011093710419e-01 4.777880545520456906e-03
3.977843232398276300e-04 7.147697546679170046e+03 1.176008860387958157e+04 6.747500753574380283e-01 3.252499246425621382e-01 4.777880545520456906e-03
4.067259052416668705e-04 7.115522673653664242e+03 1.172805551168894817e+04 6.723837254915531192e-01 3.276162745084471029e-01 4.777880545520456906e-03
4.156674872435061111e-04 7.084163776971141488e+03 1.169662852708562241e+04 6.700801571187823269e-01 3.299198428812180062e-01 4.777880545520456906e-03
4.246090692453452975e-04 7.053590633230139247e+03 1.166579287359698537e+04 6.678369863378424975e-01 3.321630136621579465e-01 4.777880545520456906e-03
4.335506512471845380e-04 7.023774328330639037e+03 1.163553397420565307e+04 6.656519333797951132e-01 3.343480666202052753e-01 4.777880545520456906e-03
4.485067835251629821e-04 6.975518664083331714e+03 1.158617145764297857e+04 6.621210904704112332e-01 3.378789095295891554e-01 4.777880545520456906e-03
4.737875949035205247e-04 6.898253432194640482e+03 1.150612821658371649e+04 6.564821990351159542e-01 3.435178009648844344e-01 4.777880545520456906e-03
4.903833686142707775e-04 6.850254933036069815e+03 1.145578031871548046e+04 6.529884978196159873e-01 3.470115021803843458e-01 4.777880545520456906e-03
5.069791423250209761e-04 6.804253089976105002e+03 1.140707828062052977e+04 6.496469671289681891e-01 3.503530328710321995e-01 4.777880545520456906e-03
5.235749160357711747e-04 6.760122606628620815e+03 1.135994495097770050e+04 6.464477795840533059e-01 3.535522204159470827e-01 4.777880545520456906e-03
5.401706897465213732e-04 6.717747948376518252e+03 1.131430690610824604e+04 6.433818862167220987e-01 3.566181137832783454e-01 4.777880545520456906e-03
5.567664634572715718e-04 6.677022499484827676e+03 1.127009439677274167e+04 6.404409489303136693e-01 3.595590510696867748e-01 4.777880545520456906e-03
5.733622371680217704e-04 6.637847793650242238e+03 1.122724126057075591e+04 6.376172787306173539e-01 3.623827212693830901e-01 4.777880545520456906e-03
5.899580108787719690e-04 6.600132811468271939e+03 1.118568480835887385e+04 6.349037792696814453e-01 3.650962207303188878e-01 4.777880545520456906e-03
6.065537845895222760e-04 6.563793337781185073e+03 1.114536569037778645e+04 6.322938951913795735e-01 3.677061048086207595e-01 4.777880545520456906e-03
6.231495583002724745e-04 6.528751375178197122e+03 1.110622774956374997e+04 6.297815649947274830e-01 3.702184350052727391e-01 4.777880545520456906e-03
6.397453320110226731e-04 6.494934611089255668e+03 1.106821786933398653e+04 6.273611782058728936e-01 3.726388217941274394e-01 4.777880545520456906e-03
6.563411057217728717e-04 6.462275934527451682e+03 1.103128582029878453e+04 6.250275365442738984e-01 3.749724634557265457e-01 4.777880545520456906e-03
6.729368794325230703e-04 6.430712997436607111e+03 1.099538410790786838e+04 6.227758186882624836e-01 3.772241813117379605e-01 4.777880545520456906e-03
6.895326531432732688e-04 6.400187816085865052e+03 1.096046782249358876e+04 6.206015482800854022e-01 3.793984517199149864e-01 4.777880545520456906e-03
7.061284268540234674e-04 6.370646408973498183e+03 1.092649449340201681e+04 6.185005648847035076e-01 3.814994351152968810e-01 4.777880545520456906e-03
7.227242005647736660e-04 6.342038468153525173e+03 1.089342394864313428e+04 6.164689976499243551e-01 3.835310023500760335e-01 4.777880545520456906e-03
7.393199742755239730e-04 6.314317060846808090e+03 1.086121818075633018e+04 6.145032414139522947e-01 3.854967585860482049e-01 4.777880545520456906e-03
7.559157479862741716e-04 6.287438358267593685e+03 1.082984121907780536e+04 6.125999350131561272e-01 3.874000649868444279e-01 4.777880545520456906e-03
7.725115216970243701e-04 6.261361388943127167e+03 1.079925900847673802e+04 6.107559415705131611e-01 3.892440584294872830e-01 4.777880545520456906e-03
7.891072954077745687e-04 6.236047814206728617e+03 1.076943929465900510e+04 6.089683305756332654e-01 3.910316694243672342e-01 4.777880545520456906e-03
8.057030691185247673e-04 6.211461723778455962e+03 1.074035151603114900e+04 6.072343615864472799e-01 3.927656384135532752e-01 4.777880545520456906e-03
8.222988428292749659e-04 6.187569449691643058e+03 1.071196670220235137e+04 6.055514694086687744e-01 3.944485305913318363e-01 4.777880545520456906e-03
8.388946165400251644e-04 6.164339395983007307e+03 1.068425737791697611e+04 6.039172505523184853e-01 3.960827494476820698e-01 4.777880545520456906e-03
8.554903902507753630e-04 6.141741883531718486e+03 1.065719747329424899e+04 6.023294509051453360e-01 3.976705490948551636e-01 4.777880545520456906e-03
